annee;date_fin_hib;codesp;altitude;TmaxFev.Mars;PluvFev.Mars
1983;72;BUFBUF;100;12.15;64.1
1984;82;BUFBUF;105;11.775;60.4375
1985;58;BUFBUF;150;13.0875;45.425
1986;65;BUFBUF;100;11.6625;75.05
1987;85;BUFBUF;150;12.075;86.15
1988;14;BUFBUF;500;13.6875;29.3125
1989;65;BUFBUF;60;15.65;20.45
1990;36;BUFBUF;130;16.575;40.3375
1991;47;BUFBUF;25;13.4;75.1125
1992;55;BUFBUF;3;13.9125;30.175
1993;72;BUFBUF;720;13.1625;40.0625
1994;53;BUFBUF;70;15.325;49.8875
1995;47;BUFBUF;950;15.1125;22.1875
1996;56;BUFBUF;370;12.225;76.275
1997;41;BUFBUF;144;17.4875;6.75
1998;41;BUFBUF;215;15.5;21.175
1999;58;BUFBUF;150;13.9;19.775
2000;43;BUFBUF;340;15.6125;24.65
2001;34;BUFBUF;96;15.525;47.225
2002;54;BUFBUF;260;15.7125;46.75
2003;59;BUFBUF;640;13.5125;46.475
2004;51;BUFBUF;80;13.075;52.15
2005;70;BUFBUF;200;11.95;44.85
2006;57;BUFBUF;64;13.2375;26
2007;55;BUFBUF;602;15.1625;49.25
2008;56;BUFBUF;72;15.0125;29.275
2009;57;BUFBUF;241;14.45;51.675
2010;53;BUFBUF;35;12.2875;83.125
2011;54;BUFBUF;186;14.35;82.5875
2012;66;BUFBUF;322;13.5875;14.4875
2013;63;BUFBUF;243;12.3625;90.0375
2014;20;BUFBUF;3;15.3625;34.4375
1983;81;ALYOBS;100;12.15;64.1
1984;119;ALYOBS;370;11.775;60.4375
1985;89;ALYOBS;120;13.0875;45.425
1986;97;ALYOBS;45;11.6625;75.05
1987;111;ALYOBS;927;12.075;86.15
1988;79;ALYOBS;567;13.6875;29.3125
1989;49;ALYOBS;498;15.65;20.45
1990;42;ALYOBS;117;16.575;40.3375
1991;55;ALYOBS;260;13.4;75.1125
1992;42;ALYOBS;280;13.9125;30.175
1993;71;ALYOBS;280;13.1625;40.0625
1994;53;ALYOBS;280;15.325;49.8875
1995;41;ALYOBS;280;15.1125;22.1875
1996;60;ALYOBS;127;12.225;76.275
1997;55;ALYOBS;430;17.4875;6.75
1998;40;ALYOBS;273;15.5;21.175
1999;57;ALYOBS;280;13.9;19.775
2000;54;ALYOBS;255;15.6125;24.65
2001;63;ALYOBS;870;15.525;47.225
2002;33;ALYOBS;260;15.7125;46.75
2003;56;ALYOBS;330;13.5125;46.475
2004;51;ALYOBS;210;13.075;52.15
2005;77;ALYOBS;260;11.95;44.85
2006;61;ALYOBS;260;13.2375;26
2007;60;ALYOBS;900;15.1625;49.25
2008;57;ALYOBS;262;15.0125;29.275
2009;67;ALYOBS;60;14.45;51.675
2010;59;ALYOBS;264;12.2875;83.125
2011;56;ALYOBS;217;14.35;82.5875
2012;69;ALYOBS;117;13.5875;14.4875
2013;68;ALYOBS;217;12.3625;90.0375
2014;65;ALYOBS;67;15.3625;34.4375
1983;52;RANTEM;880;12.15;64.1
1984;113;RANTEM;1320;11.775;60.4375
1985;36;RANTEM;596;13.0875;45.425
1986;137;RANTEM;913;11.6625;75.05
1987;114;RANTEM;1340;12.075;86.15
1988;159;RANTEM;900;13.6875;29.3125
1989;51;RANTEM;860;15.65;20.45
1990;128;RANTEM;1333;16.575;40.3375
1991;144;RANTEM;1305;13.4;75.1125
1992;64;RANTEM;590;13.9125;30.175
1993;69;RANTEM;741;13.1625;40.0625
1994;68;RANTEM;1200;15.325;49.8875
1995;84;RANTEM;1320;15.1125;22.1875
1996;67;RANTEM;655;12.225;76.275
1997;24;RANTEM;375;17.4875;6.75
1998;8;RANTEM;800;15.5;21.175
1999;73;RANTEM;1050;13.9;19.775
2000;57;RANTEM;1130;15.6125;24.65
2001;79;RANTEM;990;15.525;47.225
2002;55;RANTEM;865;15.7125;46.75
2003;60;RANTEM;874;13.5125;46.475
2004;12;RANTEM;902;13.075;52.15
2005;73;RANTEM;1140;11.95;44.85
2006;66;RANTEM;565;13.2375;26
2007;61;RANTEM;850;15.1625;49.25
2008;49;RANTEM;467;15.0125;29.275
2009;50;RANTEM;466;14.45;51.675
2010;50;RANTEM;465;12.2875;83.125
2011;75;RANTEM;1089;14.35;82.5875
2012;75;RANTEM;935;13.5875;14.4875
2013;65;RANTEM;797;12.3625;90.0375
2014;76;RANTEM;1587;15.3625;34.4375
1983;16;HYLMER;290;12.15;64.1
1984;42;HYLMER;1;11.775;60.4375
1985;40;HYLMER;280;13.0875;45.425
1986;67;HYLMER;5;11.6625;75.05
1987;77;HYLMER;125;12.075;86.15
1988;48;HYLMER;165;13.6875;29.3125
1989;65;HYLMER;157;15.65;20.45
1990;48;HYLMER;15;16.575;40.3375
1991;61;HYLMER;1;13.4;75.1125
1992;64;HYLMER;12;13.9125;30.175
1993;75;HYLMER;380;13.1625;40.0625
1994;56;HYLMER;116;15.325;49.8875
1995;43;HYLMER;1;15.1125;22.1875
1996;57;HYLMER;144;12.225;76.275
1997;24;HYLMER;1;17.4875;6.75
1998;49;HYLMER;409;15.5;21.175
1999;78;HYLMER;24;13.9;19.775
2000;32;HYLMER;152;15.6125;24.65
2001;23;HYLMER;112;15.525;47.225
2002;35;HYLMER;1;15.7125;46.75
2003;58;HYLMER;1;13.5125;46.475
2004;73;HYLMER;120;13.075;52.15
2005;70;HYLMER;2;11.95;44.85
2006;73;HYLMER;150;13.2375;26
2007;52;HYLMER;1;15.1625;49.25
2008;38;HYLMER;635;15.0125;29.275
2009;62;HYLMER;19;14.45;51.675
2010;76;HYLMER;30;12.2875;83.125
2011;68;HYLMER;15;14.35;82.5875
2012;72;HYLMER;37;13.5875;14.4875
2013;66;HYLMER;100;12.3625;90.0375
2014;47;HYLMER;564;15.3625;34.4375
1983;52;TRIMAR;880;12.15;64.1
1984;84;TRIMAR;661;11.775;60.4375
1985;48;TRIMAR;225;13.0875;45.425
1986;89;TRIMAR;195;11.6625;75.05
1987;87;TRIMAR;210;12.075;86.15
1988;75;TRIMAR;125;13.6875;29.3125
1989;76;TRIMAR;250;15.65;20.45
1990;62;TRIMAR;105;16.575;40.3375
1991;95;TRIMAR;630;13.4;75.1125
1992;101;TRIMAR;250;13.9125;30.175
1993;72;TRIMAR;661;13.1625;40.0625
1994;62;TRIMAR;45;15.325;49.8875
1995;52;TRIMAR;725;15.1125;22.1875
1996;27;TRIMAR;182;12.225;76.275
1997;17;TRIMAR;144;17.4875;6.75
1998;44;TRIMAR;496;15.5;21.175
1999;3;TRIMAR;225;13.9;19.775
2000;0;TRIMAR;695;15.6125;24.65
2001;16;TRIMAR;249;15.525;47.225
2002;56;TRIMAR;65;15.7125;46.75
2003;55;TRIMAR;450;13.5125;46.475
2004;9;TRIMAR;144;13.075;52.15
2005;53;TRIMAR;260;11.95;44.85
2006;47;TRIMAR;325;13.2375;26
2007;51;TRIMAR;152;15.1625;49.25
2008;16;TRIMAR;230;15.0125;29.275
2009;33;TRIMAR;112;14.45;51.675
2010;50;TRIMAR;144;12.2875;83.125
2011;59;TRIMAR;210;14.35;82.5875
2012;58;TRIMAR;144;13.5875;14.4875
2013;64;TRIMAR;664;12.3625;90.0375
2014;10;TRIMAR;344;15.3625;34.4375
