L;a;b;Poids;Diam;Malate;Glucose;Fructose;Maturite
328;69.36;0.9;43.23;0.0448;0.04005;13.14;2.25;0.61;2
329;72.01;-2.82;45.27;0.0425;0.0395;13.28;1.73;0.52;2
330;70.59;-1.56;41.18;0.0471;0.040712;10.09;2.74;0.59;2
331;70.89;-0.74;45.06;0.0475;0.041537;13.15;1.87;0.57;2
332;62.77;4.91;42.97;0.0487;0.041987;12.65;2.68;0.69;2
333;70.52;-2.85;45.79;0.0604;0.045137;10.58;2.22;0.53;2
334;65.21;-0.33;43.25;0.0599;0.043575;11.48;2.17;0.44;2
335;69.25;-2.46;35.39;0.0586;0.045775;13.35;2.29;0.5;2
336;70.45;-2.97;42.21;0.0573;0.043487;13.2;2.43;0.57;2
337;69.68;2.45;45.32;0.0491;0.041425;13.33;2.52;0.53;2
338;70.52;1;40.62;0.0516;0.043675;11.4;3.27;0.82;2
339;69.92;-1.5;40.94;0.0516;0.04305;11.7;2.74;0.67;2
340;71.31;-1.05;44.21;0.0495;0.040675;13.02;2.51;0.57;2
341;71.37;-0.5;44.66;0.0437;0.039738;12.3;2.26;0.56;2
342;71.64;-3.2;39.92;0.0701;0.046988;15.14;2.03;0.46;2
343;69.74;-0.58;42.86;0.05;0.042688;12.06;2.65;0.65;2
344;70.97;-3.56;42.38;0.0679;0.046363;14.89;2.05;0.44;2
345;71.43;-0.83;45.31;0.043;0.040725;14.73;2.32;0.6;2
346;71.03;0.84;41.62;0.0462;0.041938;10.76;3.36;0.8;2
347;69.61;-2.23;44.82;0.0477;0.040063;12.48;2.91;0.66;2
348;70.2;5.86;50.56;0.0423;0.039625;12.01;2.42;0.74;2
349;69.95;-4.26;35.65;0.0564;0.0452;13.18;2.5;0.52;2
350;69.53;-3.69;41.42;0.0667;0.044612;13.52;2.19;0.54;2
351;70.92;-0.45;45.57;0.0468;0.04095;14.44;1.93;0.57;2
352;69.98;3.48;48.87;0.0425;0.040212;13.1;2.19;0.63;2
353;71.14;-1.97;42.67;0.0499;0.042162;11.88;2.54;0.56;2
354;72.79;-2.08;46.64;0.054;0.0432;12.48;2.45;0.56;2
355;68.08;5.52;46.03;0.0474;0.041225;12.61;2.46;0.67;2
356;70.64;-0.96;47.52;0.0489;0.042362;13.71;2.48;0.68;2
357;70.86;-2.05;39.19;0.0621;0.046;11.35;1.79;0.5;2
358;70.63;-2.17;41.82;0.0573;0.043013;10.98;1.72;0.44;2
359;72.31;-0.37;42.27;0.063;0.0458;10.92;2.44;0.5;2
360;70.47;-1.83;40.4;0.0596;0.045775;12.64;2.35;0.54;2
361;69.19;-0.99;40.34;0.0387;0.03925;14.93;2.14;0.57;2
362;69.13;-2.73;41.86;0.0473;0.04055;13.84;2.82;0.62;2
363;68.62;4.61;39.56;0.0459;0.041912;10.8;2.79;0.65;2
364;71.73;-0.44;47.08;0.0598;0.043675;10.64;2.54;0.64;2
365;70.09;0.82;46.4;0.0496;0.042225;14.13;2.03;0.61;2
366;71.34;1.81;49.12;0.0475;0.0415;14.93;1.94;0.6;2
367;66.34;-3.6;35.72;0.0514;0.0433;23.24;2.6;0.8;1
368;69.69;-6.23;37.2;0.043;0.039;21.65;2.03;0.78;1
369;69.44;-6.15;41.45;0.0507;0.041412;19.84;2.09;0.8;1
370;69.11;-6.09;42.95;0.0603;0.0446;18.95;1.82;0.75;1
371;69.31;-6.21;41.91;0.0508;0.041763;17.59;2.35;0.73;1
372;68.81;-5.78;35.53;0.0663;0.047387;16.85;2.32;0.7;1
373;70.23;-3.39;38.29;0.0443;0.03965;18.91;2.44;0.8;1
374;72.71;-4.88;40.87;0.0624;0.04435;14.55;2.48;0.75;1
375;68.93;-4.66;40.83;0.0555;0.04305;21.29;2.07;0.8;1
376;69.02;-6.42;40.54;0.0602;0.043638;17.87;2.21;0.73;1
377;65.21;-4.84;34.31;0.0568;0.043788;22.5;2.23;0.78;1
378;69.83;-6.05;35.95;0.055;0.043987;18.72;2.1;0.7;1
379;71.76;-6.63;36.47;0.0572;0.044312;21.74;2.19;0.67;1
380;70.23;-5.44;44.01;0.0425;0.0404;15.17;2.99;0.87;1
381;71.57;-4.35;44.27;0.0449;0.039238;14.52;2.85;0.87;1
382;70.31;-3.81;39.94;0.0621;0.045163;17.87;2.38;0.78;1
383;66.58;-1.52;45.67;0.0439;0.039738;17.48;2.51;0.72;1
384;65.1;-6.66;33.49;0.0509;0.042987;16.82;2.44;0.77;1
385;71.18;-5.56;39.4;0.0609;0.045088;18.5;2.17;0.76;1
386;70.84;-4.3;42.68;0.0445;0.0402;15.23;2.8;0.7;1
387;71.95;-4.34;43.78;0.0553;0.04425;18.62;2.48;0.77;1
388;68.38;-5.17;40.04;0.0568;0.043675;13.97;2.56;0.79;1
389;70.15;-5.99;43.57;0.0516;0.042688;15.73;3.1;0.83;1
390;70.05;-3.82;45.09;0.0537;0.042487;14.23;3.06;0.85;1
391;70.34;-3.77;44.72;0.0547;0.0434;16.17;3.08;0.8;1
392;70.68;-6.27;36.99;0.0542;0.042425;18.87;2.37;0.75;1
393;70.99;-7.36;38.17;0.0774;0.049987;18.98;2.28;0.7;1
394;70.3;-5.44;45.16;0.0613;0.045338;16.89;2.5;0.78;1
395;70.79;-4.41;40.91;0.0389;0.03815;18.1;2.51;0.88;1
396;69.76;-2.64;38.15;0.0599;0.045363;15.36;2.47;0.71;1
397;70.53;-5.66;39.39;0.0478;0.040825;19.84;2.59;0.8;1
398;70.86;-5.75;43.43;0.0751;0.04965;20.28;2.91;0.82;1
399;67.36;-5.34;41.15;0.0625;0.04605;13.4;3.24;0.8;1
400;69.13;-4.98;38.7;0.0547;0.044525;19.64;2.59;0.85;1
401;68.62;-3.96;41.72;0.0523;0.041238;15.26;2.25;0.63;1
402;69.37;-5.11;37.1;0.056;0.044088;16.69;2.36;0.73;1
403;67.93;-3.47;40.06;0.0665;0.048212;17.56;2.8;0.8;1
404;71.02;-2.9;43.15;0.0508;0.041462;21.9;2.64;0.8;1
405;68.36;-3.23;40.04;0.0452;0.040688;19.25;2.3;0.85;1
406;70.9;-4.01;44.96;0.06;0.046413;20.69;2.71;0.9;1
407;74.05;1;38.71;0.0481;0.041763;11.19;3.43;0.8;3
408;71.09;1.6;45.52;0.0474;0.042862;10.03;3.19;0.77;3
409;72.81;-0.48;45.42;0.0545;0.043162;10.07;3.17;0.95;3
410;69.05;7.3;45.14;0.0443;0.041787;10.99;4.86;1.6;3
411;72.31;1.76;42.1;0.0529;0.043562;10.75;3.55;0.95;3
412;69.91;3.39;42.29;0.0575;0.044725;11.62;3.22;0.87;3
413;69.14;6.87;45.85;0.063;0.045663;8.28;4.33;1.13;3
414;71.36;3.17;45.1;0.049;0.043425;9.63;3.9;0.9;3
415;72.34;4.05;46.01;0.0547;0.043987;9.19;4.25;1.15;3
416;69.83;5.07;43.66;0.042;0.041363;9.14;3.11;0.7;3
417;73.37;1.04;45.03;0.0489;0.042787;10.07;3.5;0.77;3
418;73.81;4;45.44;0.045;0.0412;9.61;3.12;0.8;3
419;70.14;4.64;40.78;0.0563;0.0456;8;4.22;1.04;3
420;70.25;5.36;44.19;0.0494;0.043225;11.02;2.93;0.79;3
421;73.6;6.14;43.98;0.0395;0.03915;8.25;3.66;1;3
422;70.92;6.98;47.35;0.0621;0.044988;8.24;3.46;0.92;3
423;69.26;1.21;40.11;0.0542;0.0444;13.9;3.58;1.1;3
424;69.03;2.63;40.94;0.0466;0.042487;13.08;4.61;0.59;3
425;68.03;5.03;41.58;0.0578;0.045687;10.96;4.07;1.42;3
426;70.58;-0.75;38.9;0.0468;0.043575;12.54;3.2;0.85;3
427;70.06;3.63;43.58;0.0648;0.045913;13.02;3.46;1.03;3
428;72.76;3.15;42.87;0.0546;0.045238;10.24;3.6;1.02;3
429;72.26;0.43;39.8;0.0549;0.04425;11.42;3.73;1.1;3
430;71.33;2.18;43.82;0.0517;0.044062;11.33;3.47;1.02;3
431;74.67;-0.09;40.07;0.0605;0.0473;8.49;4.34;1.25;3
432;67.79;9.47;43.04;0.0551;0.0437;9.61;4.52;1.77;3
433;70.24;5.68;42.86;0.0473;0.0438;6.91;5.1;1.72;3
434;70.12;2.26;40.39;0.0594;0.045038;12.41;3.41;1.06;3
435;73.54;3.31;45.64;0.0518;0.042525;12.24;3.48;1.14;3
