;abies;acer;alnusfru;alnusund;apiaceae;artemisia;asterund;betunana;betula;brassicaceae;carpinus;chenopodiaceae;corylus;cyperaceae;ephedra;ericaceae;fagus;fraxinus;juniperus;larix;olea;picea;pinushap;pinus;plantago;poaceae;quercusever;quercusdec;salix;tilia;ulmus
BP1;6.71140939597315;0.671140939597315;0;6.04026845637585;0.223713646532438;0;0;0;6.48769574944072;0;1.34228187919463;0;9.61968680089487;6.48769574944072;0;0;11.6331096196868;2.9082774049217;0.894854586129755;0;0;6.9351230425056;0;5.14541387024609;2.46085011185683;17.2259507829977;0;13.6465324384787;0.671140939597315;0.447427293064877;0.447427293064877
BP2;6.2962962962963;0.185185185185185;0;8.33333333333333;2.22222222222222;0;0;0;1.48148148148148;0;0.185185185185185;0;3.33333333333334;4.81481481481481;0;0;4.25925925925926;1.85185185185185;0.555555555555555;0;0;7.4074074074074;0;5.74074074074074;4.62962962962963;41.6666666666667;0;5.92592592592593;0.555555555555555;0.555555555555555;0
BP3;6.3526834611172;0.328587075575027;0;6.46221248630888;1.75246440306681;0.109529025191676;0;0;2.30010952902519;0;0.547645125958378;0.109529025191676;3.72398685651697;7.44797371303396;0;0.109529025191676;8.21467688937569;1.20481927710843;0.328587075575027;0;0;7.55750273822564;0;5.80503833515881;7.55750273822564;31.8729463307776;0;7.44797371303396;0.438116100766703;0.219058050383351;0.109529025191676
BP4;5.23690773067332;0.374064837905237;0;6.73316708229426;0.997506234413965;0.124688279301745;0;0;1.87032418952618;0;0.124688279301745;0.124688279301745;6.73316708229426;7.60598503740648;0;0.124688279301745;11.5960099750623;1.37157107231921;1.6209476309227;0;0;5.61097256857855;0;4.98753117206983;5.98503740648379;27.0573566084788;0;10.8478802992519;0.623441396508729;0.249376558603492;0
BP5;8.63787375415283;0;0;11.4617940199336;0.830564784053157;0.332225913621262;0;0;2.99003322259136;0;0.996677740863788;0;7.80730897009967;3.98671096345515;0;0.166112956810631;8.80398671096346;0.830564784053157;1.49501661129568;0;0;9.63455149501662;0;3.48837209302325;4.81727574750831;17.109634551495;0;15.2823920265781;0.830564784053157;0.498338870431893;0
BP6;7.53860127157131;0.635785649409628;0;12.3524069028156;0.454132606721163;0;0;0;4.08719346049046;0;0.36330608537693;0.0908265213442326;10.4450499545868;5.35876475930972;0;0;8.44686648501363;0.817438692098094;1.27157129881926;0;0;8.99182561307902;0;5.08628519527702;2.81562216167121;12.3524069028156;0;17.4386920980927;1.18074477747502;0.0908265213442326;0.181653042688465
BP7;5;0.116279069767441;0;15;0.58139534883721;0.116279069767441;0;0;8.13953488372092;0;0.58139534883721;0.116279069767441;13.953488372093;3.48837209302325;0;0.116279069767441;9.1860465116279;0.465116279069767;1.62790697674418;0;0;7.32558139534883;0;5.11627906976744;2.09302325581396;11.046511627907;0;15;0.930232558139535;0;0
BP8;4.99468650371945;0.212539851222104;0;17.3219978746015;0.212539851222104;0;0;0;8.07651434643996;0;0.318809776833156;0.106269925611052;14.8777895855473;5.95111583421891;0;0;8.60786397449521;0.318809776833156;2.8692879914984;0;0;5.84484590860786;0;3.29436769394261;2.76301806588735;10.201912858661;0;12.6461211477152;1.06269925611052;0.106269925611052;0.212539851222104
BP9;4.79041916167664;0.239520958083832;0;10.7784431137725;0;0;0;0;7.54491017964072;0;0.479041916167664;0;13.0538922155689;5.26946107784431;0;0.359281437125748;12.3353293413174;0.958083832335329;2.9940119760479;0;0;5.86826347305389;0;2.39520958083832;2.75449101796407;12.2155688622754;0;16.0479041916168;1.55688622754491;0.119760479041916;0.239520958083832
BP10;5.99144079885876;0.14265335235378;0;14.5506419400856;0.42796005706134;0.285306704707561;0;0;6.13409415121254;0;0.57061340941512;0.14265335235378;9.84308131241082;3.42368045649072;0;0.14265335235378;12.981455064194;0.285306704707561;1.99714693295292;0;0;3.70898716119828;0;1.56918687589158;2.28245363766048;14.6932952924394;0;18.5449358059914;1.85449358059914;0.285306704707561;0.14265335235378
BP11;6.21761658031088;0.38860103626943;0;14.8963730569948;0.38860103626943;0.906735751295337;0;0;3.8860103626943;0;0.38860103626943;0;13.4715025906736;4.79274611398964;0;0.129533678756477;12.6943005181347;1.16580310880829;4.14507772020726;0;0;6.21761658031088;0;1.6839378238342;2.33160621761658;10.1036269430052;0;14.5077720207253;1.42487046632125;0.129533678756477;0.129533678756477
BP12;7.45473908413206;0.212992545260916;0;13.4185303514376;0.638977635782748;0.425985090521832;0;0;3.19488817891374;0;0.425985090521832;0.212992545260916;16.6134185303515;5.75079872204473;0;0.212992545260916;12.779552715655;0.53248136315229;2.98189563365282;0;0;4.68583599574015;0;2.0234291799787;1.49094781682641;13.5250266240682;0;11.1821086261981;2.23642172523962;0;0
BP13;6.71378091872791;0;0;10.0117785630153;0.824499411071849;0.588928150765606;0;0;2.70906949352179;0;1.06007067137809;0.235571260306243;15.9010600706714;5.65371024734982;0;0.117785630153121;16.8433451118963;1.06007067137809;3.06242638398116;0;0;2.35571260306243;0;1.06007067137809;1.88457008244994;13.8987043580683;0;13.0742049469965;2.59128386336867;0.117785630153121;0.235571260306243
BP14;7.97687861271677;0;0;11.6763005780347;0.346820809248555;1.27167630057804;0;0;2.89017341040462;0;0.69364161849711;0.115606936416185;13.1791907514451;4.39306358381503;0;0;14.4508670520232;0.809248554913296;2.89017341040462;0;0;3.35260115606936;0;2.08092485549133;1.73410404624277;15.1445086705202;0;14.3352601156069;2.65895953757225;0;0
BP15;9.2534174553102;0;0;19.348054679285;0.210304942166141;0.420609884332281;0;0;4.52155625657202;0;0.946372239747634;0;10.7255520504732;2.20820189274448;0;0.420609884332281;21.0304942166141;1.57728706624605;0.841219768664564;0;0;5.15247108307045;0;0.736067297581494;0.841219768664564;10.8307045215563;0;9.56887486855941;1.15667718191377;0;0.210304942166141
BP16;23.8418079096045;0.112994350282486;0;18.1920903954802;0.225988700564972;0.903954802259887;0;0;0.790960451977401;0;0.56497175141243;0;5.76271186440678;1.69491525423729;0;0;23.9548022598871;2.03389830508475;0.338983050847458;0;0;9.03954802259887;0;1.35593220338983;0.903954802259887;6.4406779661017;0;2.93785310734463;0.451977401129944;0.112994350282486;0.338983050847458
BP17;18.5918591859186;0.11001100110011;0;19.031903190319;0;0.33003300330033;0;0;3.52035203520352;0;0.77007700770077;0;5.28052805280528;0.44004400440044;0;0;30.9130913091309;3.52035203520352;0.11001100110011;0;0;7.59075907590758;0;1.21012101210121;0.550055005500549;1.54015401540154;0;5.28052805280528;0.11001100110011;0.220022002200219;0.88008800880088
BP18;6.77618069815196;0.205338809034908;0;25.0513347022587;0;0.205338809034908;0;0;5.3388090349076;0;0.924024640657085;0.102669404517453;11.4989733059549;1.12936344969199;0;0.102669404517453;24.435318275154;4.82546201232033;0.308008213552361;0;0;4.0041067761807;0;1.23203285420945;0.513347022587269;2.46406570841889;0;8.62422997946612;0.513347022587269;0.924024640657085;0.82135523613963
BP19;7.95724465558195;0.1187648456057;0;24.3467933491687;0.1187648456057;0.1187648456057;0;0;7.83847980997625;0;0.237529691211402;0;9.73871733966746;1.187648456057;0;0.1187648456057;19.9524940617577;2.61282660332541;0.475059382422803;0;0;5.93824228028504;0;1.42517814726841;1.06888361045131;4.03800475059382;0;11.2826603325415;0.950118764845606;0.1187648456057;0.356294536817102
BP20;5.34351145038168;0.109051254089422;0;35.1145038167939;0.109051254089422;0.436205016357688;0;0;5.12540894220283;0;0.763358778625954;0.109051254089422;11.5594329334788;1.52671755725191;0;0.109051254089422;16.5757906215921;1.52671755725191;0.436205016357688;0;0;1.9629225736096;0;0.545256270447109;0.872410032715375;5.23446019629225;0;11.5594329334788;0.545256270447109;0.109051254089422;0.327153762268266
BP21;5.6910569105691;0;0;22.8803716608595;0.348432055749129;0.464576074332172;0;0;3.2520325203252;0;0;0.116144018583043;12.0789779326365;1.50987224157956;0;0;18.5830429732869;1.74216027874565;0.464576074332172;0;0;3.83275261324042;0;1.39372822299651;0.696864111498257;7.20092915214866;0;17.5377468060395;1.04529616724738;0.580720092915214;0.580720092915214
BP22;7.77891504605936;0.102354145342886;0;27.942681678608;0.102354145342886;0.307062436028659;0;0;7.4718526100307;0;0.204708290685773;0;13.7154554759467;1.12589559877175;0;0.102354145342886;19.1402251791198;2.86591606960082;0;0;0;2.9682702149437;0;1.12589559877175;1.12589559877175;4.60593654042989;0;7.77891504605936;1.02354145342886;0.204708290685773;0.307062436028659
BP23;15.6429156429156;0.081900081900082;0;28.992628992629;0.081900081900082;0;0;0;3.35790335790336;0;0;0;7.78050778050778;0.245700245700246;0;0;25.3890253890254;3.1941031941032;0.081900081900082;0;0;2.62080262080262;0;1.47420147420147;0.737100737100738;3.27600327600327;0;6.47010647010647;0;0.327600327600327;0.245700245700246
BP24;17.4041297935103;0.0983284169124877;0;22.9105211406096;0.0983284169124877;0.0983284169124877;0;0;3.34316617502458;0;0.294985250737464;0;9.6361848574238;0.589970501474926;0;0.0983284169124877;25.0737463126844;1.76991150442478;0.0983284169124877;0;0;5.50639134709932;0;1.27826941986234;0.491642084562439;3.83480825958702;0;5.89970501474926;0.294985250737464;0.491642084562439;0.688298918387414
BP25;15.1;0;0;30.2;0;0.4;0;0;3.4;0;0.1;0;8.7;0.9;0;0;23.6;2.4;0.2;0;0;3.2;0;2.5;0.4;2.3;0;4.3;0.5;1.1;0.7
BP26;23.712342079689;0.291545189504373;0;23.1292517006803;0;0.194363459669582;0;0;3.69290573372206;0;0.194363459669582;0;8.06608357628765;1.06899902818271;0;0;17.7842565597668;2.62390670553936;1.55490767735665;0;0;4.27599611273081;0;4.95626822157435;0;1.16618075801749;0;5.05344995140914;0.097181729834791;1.36054421768707;0.777453838678329
BP27;18.1215469613259;0.110497237569061;0;28.7292817679558;0.441988950276243;0.220994475138121;0;0;4.86187845303867;0;0.110497237569061;0;9.28176795580111;1.43646408839779;0;0;17.4585635359117;3.0939226519337;0.994475138121547;0;0;1.65745856353591;0;4.08839779005525;0.220994475138121;1.54696132596685;0;3.86740331491712;0.552486187845305;1.76795580110497;1.43646408839779
BP28;25.9725400457665;0.11441647597254;0;22.0823798627002;0.22883295194508;0.11441647597254;0;0;3.4324942791762;0;0;0;6.40732265446225;2.51716247139589;0;0;14.3020594965675;1.25858123569794;1.37299771167049;0;0;3.89016018306636;0;6.06407322654462;0.11441647597254;2.05949656750572;0;6.40732265446225;0;2.74599542334096;0.91533180778032
BP29;27.3825503355705;0.134228187919463;0;19.5973154362416;0;0.268456375838926;0;0;2.81879194630872;0;0;0;8.59060402684564;0.805369127516779;0;0;20.4026845637584;2.68456375838926;0.536912751677853;0;0;4.42953020134228;0;4.02684563758389;0;0.402684563758389;0;4.69798657718121;0.268456375838926;2.28187919463087;0.671140939597315
BP30;22.5892857142857;0.267857142857143;0;21.5178571428571;0.0892857142857142;0.357142857142857;0;0;4.73214285714285;0;0;0;7.5;1.96428571428571;0;0;16.1607142857143;3.125;0.892857142857143;0;0;4.19642857142857;0;5.80357142857143;0.0892857142857142;1.25;0;6.07142857142857;0.178571428571429;2.41071428571429;0.803571428571428
BP31;23.4455958549223;0.38860103626943;0;21.1139896373057;0;0.38860103626943;0;0;6.99481865284973;0;0;0;9.4559585492228;1.68393782383419;0;0;13.0829015544042;3.49740932642487;1.29533678756477;0;0;2.59067357512953;0;5.56994818652849;0;1.42487046632124;0;4.14507772020725;0.518134715025906;3.75647668393781;0.647668393782383
BP32;9.375;0;0;42.1875;0.9375;0;0;0;6.25;0;0.3125;0.3125;10.3125;2.1875;0;0;13.4375;0.9375;0;0;0;0.9375;0;2.5;0;1.25;0;4.375;0;3.4375;1.25
BP33;28.9805269186712;0.229095074455899;0;26.0022909507446;0.11454753722795;0.229095074455899;0;0;3.78006872852233;0;0;0;8.3619702176403;1.03092783505155;0;0;10.3092783505155;1.94730813287514;0.687285223367697;0;0;3.09278350515464;0;6.75830469644901;0;0.229095074455899;0;3.32187857961053;0.572737686139747;2.97823596792668;1.37457044673539
BP34;36.7248062015504;0.193798449612404;0;23.6434108527132;0.0968992248062016;0;0;0;3.19767441860465;0;0;0;6.2984496124031;1.45348837209302;0;0;11.8217054263566;1.93798449612404;0.67829457364341;0;0;1.84108527131783;0;4.16666666666667;0.0968992248062016;0.67829457364341;0;3.29457364341085;0.193798449612404;2.61627906976744;1.06589147286822
BP35;35.8;0.3;0;22.4;0;0.2;0;0;4.4;0;0;0;5.9;1.6;0;0;8.7;2.2;0.4;0;0;2;0;4.9;0;1.90000000000001;0;4.5;0.3;3.4;1.1
BP36;32.9268292682927;0.33259423503326;0;26.3858093126386;0.221729490022173;0;0;0;1.44124168514413;0;0.110864745011087;0;9.42350332594235;0.665188470066518;0;0;6.98447893569845;2.10643015521064;0.221729490022173;0;0;2.32815964523281;0;2.66075388026607;0;1.44124168514413;0;5.87583148558758;0.110864745011087;4.21286031042128;2.54988913525499
BP37;29.4471153846154;0.360576923076923;0;32.0913461538462;0.48076923076923;0.120192307692308;0;0;2.04326923076923;0;0;0;8.29326923076923;0.48076923076923;0;0;8.17307692307691;2.64423076923077;0.240384615384615;0;0;1.5625;0;1.68269230769231;0;1.08173076923077;0;4.20673076923077;0.721153846153845;4.08653846153846;2.28365384615385
BP38;40.1920438957476;0;0;19.0672153635117;0;0.411522633744856;0;0;1.09739368998628;0;0;0;5.89849108367627;0.411522633744856;0;0;8.77914951989027;2.19478737997257;0.274348422496571;0;0;0.960219478737998;0;3.97805212620028;0;0.960219478737998;0;4.25240054869685;0.137174211248285;8.64197530864198;2.74348422496571
BP39;40.5612244897959;0.127551020408163;0;18.6224489795919;0;0.38265306122449;0;0;0.76530612244898;0;0;0;6.12244897959184;1.27551020408163;0;0;9.56632653061224;2.93367346938776;0.38265306122449;0;0;1.53061224489796;0;4.20918367346939;0;1.02040816326531;0;3.44387755102041;0.127551020408163;6.12244897959184;2.8061224489796
BP40;45.3900709219858;0.118203309692671;0;17.0212765957447;0.118203309692671;0;0;0;2.00945626477541;0;0;0;7.32860520094563;0.945626477541371;0;0;5.67375886524823;2.4822695035461;0.236406619385343;0;0;2.00945626477541;0;4.25531914893617;0;0.709219858156028;0;3.78250591016549;0;5.31914893617021;2.60047281323877
BP41;36.4640883977901;0.276243093922652;0;16.7127071823204;0.138121546961326;0.138121546961326;0;0;1.38121546961326;0;0;0;9.25414364640883;2.07182320441989;0;0;5.38674033149171;3.86740331491713;0.138121546961326;0;0;0.414364640883978;0;5.52486187845304;0;0.828729281767956;0;4.8342541436464;0.138121546961326;9.53038674033148;2.90055248618785
BP42;40.0602409638554;0.451807228915663;0;11.2951807228916;0.150602409638554;0.301204819277109;0;0;2.40963855421686;0;0;0;7.37951807228915;1.80722891566265;0;0;5.2710843373494;4.81927710843374;0.301204819277109;0;0;0.150602409638554;0;6.47590361445783;0;1.35542168674699;0;4.96987951807229;0;9.03614457831325;3.76506024096385
BP43;42.5862068965517;0.172413793103448;0;3.62068965517242;0.172413793103448;0.517241379310345;0;0;2.06896551724138;0;0;0;9.13793103448276;2.24137931034483;0;0;2.06896551724138;3.44827586206896;0.344827586206896;0;0;0.344827586206896;0;10.3448275862069;0;2.75862068965517;0;6.20689655172414;0.344827586206896;8.79310344827586;4.82758620689655
BP44;5.25451559934319;0.492610837438423;0;5.09031198686371;0;0.492610837438423;0;0;1.80623973727422;0;0;0;12.3152709359606;1.14942528735633;0;0;0.164203612479474;7.7175697865353;0.164203612479474;0;0;0;0;16.7487684729064;0;3.28407224958949;0;15.7635467980295;0.164203612479474;20.3612479474548;9.0311986863711
BP45;3.57852882703778;1.19284294234592;0;8.34990059642146;0.397614314115308;0.198807157057654;0;0;2.38568588469184;0;0;0;13.3200795228629;2.5844930417495;0;0.198807157057654;0;6.56063618290258;0.596421471172962;0;0;0.397614314115308;0;18.4890656063618;0;2.78330019880715;0;10.7355864811133;0.99403578528827;26.0437375745527;1.19284294234592
BP46;2.04678362573099;0.438596491228071;0;4.97076023391813;0;0.146198830409357;0;0;1.60818713450292;0;0;0;16.0818713450292;1.60818713450292;0;0;0;2.77777777777777;0.146198830409357;0;0;0;0;27.3391812865497;0;2.92397660818713;0;7.4561403508772;0.146198830409357;24.561403508772;7.7485380116959
BP47;1.91972076788831;0.523560209424084;0;6.80628272251309;0;0.349040139616057;0;0;3.66492146596858;0;0;0;20.4188481675392;2.09424083769634;0;0;0;8.55148342059338;0;0;0;0;0;9.77312390924957;0;2.61780104712042;0;13.7870855148342;0.523560209424084;20.5933682373473;8.37696335078535
BP48;0.536672629695886;0.536672629695886;0;5.90339892665475;0;0.715563506261181;0;0;3.22003577817532;0;0;0;20.3935599284437;0.894454382826476;0;0;0;5.54561717352415;0.894454382826476;0;0;0;0;10.3756708407871;0;3.39892665474061;0;15.742397137746;0.178890876565295;20.5724508050089;11.0912343470483
BP49;0.245098039215686;0.490196078431373;0;3.55392156862745;0.245098039215686;0.122549019607843;0;0;2.69607843137254;0;0;0;49.0196078431373;1.34803921568628;0;0;0;5.88235294117647;0.245098039215686;0;0;0;0;7.1078431372549;0;2.32843137254901;0;11.6421568627451;0;6.00490196078432;9.06862745098039
BP50;0.341296928327646;0.341296928327646;0;4.43686006825939;0.341296928327646;0.341296928327646;0;0;5.46075085324232;0;0;0;32.4232081911262;1.53583617747441;0;0;0;5.80204778156997;0.170648464163823;0;0;0;0;8.87372013651877;0;4.60750853242321;0;12.1160409556314;0.170648464163823;15.5290102389079;7.5085324232082
BP51;0;0.487012987012987;0;8.11688311688313;0;0.162337662337663;0;0;4.70779220779221;0;0;0.162337662337663;30.1948051948052;1.62337662337663;0;0;0;5.51948051948052;0.162337662337663;0;0;0;0;8.44155844155844;0.162337662337663;2.75974025974026;0;11.3636363636364;0.64935064935065;13.6363636363636;11.8506493506494
BP52;0.156494522691705;0.625978090766823;0;5.79029733959311;0;0.625978090766823;0;0;5.00782472613458;0;0;0;31.1424100156494;2.03442879499218;0;0;0;3.91236306729264;0;0;0;0;0;6.57276995305164;0;5.16431924882629;0;11.737089201878;0.625978090766823;17.8403755868545;8.76369327073552
