abies;acer;alnusfru;alnusund;apiaceae;artemisia;asterund;betunana;betula;brassicaceae;carpinus;chenopodiaceae;corylus;cyperaceae;ephedra;ericaceae;fagus;fraxinus;juniperus;larix;olea;picea;pinushap;pinus;plantago;poaceae;quercusever;quercusdec;salix;tilia;ulmus;tann;biome
0;0;0;0.64;0.64;0;6.09;0;0.64;1.6;0;0.64;1.6;50.64;0;1.6;0.32;0;0;0;0.32;0;0;6.73;2.56;24.36;0.32;1.28;0;0;0;13.546;WAST
0;0;0;0;0.52;33.85;6.46;0;0;1.03;0;2.33;0;3.62;0;0;0;0;0.52;0;18.09;0;0;8.27;1.03;21.45;0.78;2.07;0;0;0;18.022;WAST
0;0;0;0;0.27;1.1;0.27;0;0;4.12;0;0.27;0;9.07;0;0.27;0;8.24;1.1;0;16.48;0;0;45.88;0.55;2.75;3.3;1.92;4.4;0;0;17.665;XERO
0.48;0;0;0;0;0.24;0;0;0;1.9;0;0;0;7.86;0;0;0;1.19;0;0;14.05;0;0;67.14;0.24;3.33;1.67;1.67;0.24;0;0;11.528;XERO
0.97;0;0;0;0;1.94;0.97;0;0.49;0.73;0;0.97;0;2.18;0;4.13;0.49;0.49;0;0;2.91;0.49;0;56.8;1.46;18.69;1.7;4.13;0;0;0.49;5.151;XERO
0;0;0;0;0.26;0;3.09;0;0;0.77;0;0.52;0;55.41;0;0.26;0;0.26;1.55;0;7.22;0;0;24.74;0;1.55;0.52;3.87;0;0;0;14.154;WAST
0;0;0;3.34;0.33;1.34;2.68;0;0;2.01;0;13.38;0;3.34;0;1.34;0;4.35;14.38;0;9.36;0;0;13.71;6.02;12.37;3.34;7.69;0;0;1;13.949;WAST
0.27;0;0;1.62;0.54;0.27;1.08;0;7.55;0;0;0.27;0;0.54;0;22.37;0;0.27;0.81;0;2.16;0.27;0;6.2;2.7;38.81;1.35;12.67;0;0;0.27;6.412;TEDE
0;0;0;0.32;0;0.65;1.94;0;0;1.94;0;3.24;0;0.97;0;1.29;0;0.97;6.47;0.32;19.42;0;0;16.5;2.91;16.5;11.33;12.62;0;0;2.59;14.202;XERO
0;0;0;0.66;0;0;1.65;0;2.64;1.65;0;0;1.32;1.32;0;16.5;0;0;0;0;0.33;0;0;5.28;0.66;67.33;0;0.66;0;0;0;10.311;WAST
0;0;0;0.37;0;1.47;0;0;0;0.74;0;4.78;0;1.47;0;0.37;0;0;8.46;0;16.54;0;0;6.25;2.57;26.47;5.88;23.9;0;0;0.74;14.202;XERO
0;0;0;0;0;4.01;1;0;0;1.34;0;8.7;0;4.68;0;0;0;0;5.02;0;11.37;0;0;37.79;1;14.72;2.68;7.36;0;0;0.33;13.818;XERO
0;0;0;0;0.27;1.09;0.82;0;0;1.09;0;20.11;0;2.17;0;0.54;0;0;2.99;0;8.42;0;0;28.26;1.9;22.28;4.89;4.35;0.27;0;0.54;13.946;XERO
0;0;0;0;0;6.89;0.9;0;0;1.8;0;2.99;0;4.19;0;0.6;0.3;0;3.59;0;23.05;0;0;25.15;1.8;15.27;4.49;8.38;0;0;0.6;14.035;XERO
0;0;0;0.29;0;4.34;0;0;0;1.16;0;29.48;0;7.8;0;0.29;0;0;0.58;0;8.96;0;0;26.59;1.16;11.85;0.29;5.2;0;0.29;1.73;14.069;WAST
0;0;0;49.1;0;0.2;0;0;24.3;0;0;0;0;9.4;0;0.7;0;0;0.2;0;0;13.6;0;0;0;1.6;0;0;0.9;0;0;-7.698;COMX
0;0;0;38.86;0;0.5;0;0;27.61;0;0;0;0;14.26;0;1.61;0;0;1.1;0;0;11.75;0;0;0;1.61;0;0;2.71;0;0;-7.221;COMX
0;0;0;23.14;0;0;0;0;38.03;0;0;0;0;2.52;0;0;0;0;0;0;0;34.21;0;0;0;0.4;0;0;1.71;0;0;-6.388;COMX
0;0;0;60.16;0;1;0;0;23.32;0;0;0;0;5.41;0;0.9;0;0;0;0;0;7.31;0;0;0;0.3;0;0;1.6;0;0;-7.263;COMX
0;0;0;31.8;0;0;0;0;33.2;0;0;0;0;4.81;0;0.9;0;0;0;0;0;25.48;0;0;0;2.21;0;0;1.6;0;0;-5.82;COMX
0;0;0;25.25;0;0.2;0;0;27.35;0;0;0;0;2.71;0;0;0;0;0;0;0;40.38;0;0;0;1.4;0;0;2.71;0;0;-7.056;COMX
0;0;0;12.4;0;0.9;0;0;25.9;0;0;0;0;40.9;0;6.4;0;0;0;0;0;2.8;0;0;0;6.9;0;0;3.8;0;0;-7.697;COMX
0;0;0;17.95;0;3.65;0;0;23.63;0;0;0.2;0;38.95;0;4.87;0;0;0;0;0;1.93;0;0;0;6.59;0;0;2.23;0;0;-8.023;COMX
0;0;0;14.91;0;1.3;0;0;19.82;0;0;0;0;39.44;0;5.31;0;0;0;0;0;1.8;0;0.4;0;13.11;0;0;3.9;0;0;-8.374;COMX
0;0;0;9.91;0;0.2;0;0;24.92;0;0;0;0;41.24;0;3.8;0;0;0;0;0;3.1;0;0;0;13.01;0;0;3.8;0;0;-7.147;COMX
0;0;0;7.85;0;0.5;0;0;20.44;0;0;0;0;33.74;0;8.56;0;0;0;0;0;0.7;0;0;0;24.57;0;0;3.63;0;0;-7.542;COMX
0;0;0;4.6;0;2.6;0;0;8.21;0;0;0.2;0;35.94;0;5.11;0;0;0;0;0;1.6;0;0;0;38.14;0;0;3.6;0;0;-9.999;COMX
0;0;0;8.6;0;0.2;0;0;11;0;0;0;0;56.2;0;1.3;0;0;0;0;0;1.1;0;0;0;18.1;0;0;3.5;0;0;-9.543;COMX
0;0;0;11.14;0;1.01;0;0;28.98;0;0;0.2;0;36.78;0;7.09;0;0;0;0;0;1.42;0;0;0;10.13;0;0;3.24;0;0;-6.114;COMX
0;0;0;8.79;0;0.7;0;0;10.49;0;0;0;0;28.37;0;4.2;0;0;0;0;0;0.7;0;0;0;42.86;0;0;3.9;0;0;-9.806;COMX
0;0;0;47.45;0;0.51;0;0;29.94;0;0;0;0;5.3;0;2.44;0;0;0;0;0;8.04;0;0;0;5.8;0;0;0.51;0;0;-4.226;COMX
0;0;0;28.26;0;0.21;0;0;40.39;0;0;0;0;9.66;0;2.77;0;0;0;0;0;9.15;0;0;0;8.32;0;0;1.23;0;0;-6.936;COMX
0;0;0;12.86;0;7.24;0;0;17.09;0;0;0;0;26.63;0;3.92;0;0;0;0;0;3.32;0;0;0;22.71;0;0;6.23;0;0;-7.054;COMX
0;0;0;28.6;0;0;0;0;27.8;0;0;0;0;6.1;0;0.6;0;0;0;0;0;32.9;0;0;0;2.2;0;0;1.8;0;0;-6.285;COMX
0;0;0;45.75;0;0.2;0;0;30.53;0;0;0;0;3;0;0;0;0;0.4;0;0;16.52;0;0;0;1.7;0;0;1.9;0;0;-6.297;COMX
0;0;0;34.7;0;0.5;0;0;23.67;0;0;0;0;3.21;0;0.7;0;0;0;0;0;33.1;0;0;0;2.71;0;0;1.4;0;0;-6.31;COMX
0;0;0;3.4;0;2.5;0;0;10.6;0;0;0;0;46.9;0;11.1;0;0;0;0;0;0.5;0;0;0;23.5;0;0;1.5;0;0;-6.032;COMX
0;0;0;3.9;0;1.3;0;0;10.5;0;0;0;0;43.5;0;10.6;0;0;0;0;0;0.5;0;0;0;29.2;0;0;0.5;0;0;-7.068;COMX
0;0;0;3.8;0;3.1;0;0;15.02;0;0;0;0;40.44;0;4.7;0;0;0;0;0;0.2;0;0;0;32.53;0;0;0.2;0;0;-7.046;COST
0;0;0;6.7;0;1;0;0;18.5;0;0;0;0;40.5;0;7.5;0;0;0;0;0;1.3;0;0;0;24.3;0;0;0.2;0;0;-5.047;COMX
0;0;0;10.61;0;1.2;0;0;14.21;0;0;0;0;40.74;0;7.41;0;0;0;0;0;2.4;0;0.2;0;22.32;0;0;0.9;0;0;-5.79;COMX
0;0;0;8.78;0;2.3;0;0;14.47;0;0;0;0;36.63;0;7.98;0;0;0;0;0;2;0;0.2;0;27.45;0;0;0.2;0;0;-5.899;COMX
0;0;0;20.9;0;1.41;0;0;17.39;0;0;0;0;21.61;0;0;0;0;0;0;0;4.92;0;0.2;0;32.86;0;0;0.7;0;0;-7.688;COMX
0;0;0;13.73;0;0.2;0;0;23.95;0;0;0;0;6.71;0;0.7;0;0;0;0;0;53.31;0;0;0;1.2;0;0;0.2;0;0;-5.681;COMX
0;0;0;16.2;0;0;0;0;30.89;0;0;0;0;7.14;0;1.91;0;0;0;0;0;39.03;0;0;0;4.33;0;0;0.5;0;0;-5.119;COMX
0;0;0;12.89;0;0.5;0;0;38.97;0;0;0;0;9.67;0;0.5;0;0;0;0;0;24.37;0;0.2;0;8.96;0;0;3.93;0;0;-4.857;COMX
0;0;0;12.24;0;0.2;0;0;34.3;0;0;0;0;7.02;0;2.51;0;0;0;0;0;38.42;0;0;0;4.21;0;0;1.1;0;0;-4.997;COMX
0;0;0;19.74;0;1.93;0;0;23.19;0;0;0;0;26.65;0;9.46;0;0;0;0;0;5.7;0;0;0;11.09;0;0;2.24;0;0;-4.369;COMX
0;0;0;31.17;0;0.3;0;0;20.48;0;0;0;0;24.18;0;9.49;0;0;0;0;0;0.3;0;0;0;13.79;0;0;0.3;0;0;-6.548;COMX
0;0;0;12.6;0;0.7;0;0;15.7;0;0;0;0;27.1;0;12.1;0;0;0;0;0;0.7;0;0;0;30.4;0;0;0.7;0;0;-6.486;COMX
0;0;0;8.6;0;0.8;0;0;17.1;0;0;0;0;36.4;0;24.7;0;0;0;0;0;3.6;0;0;0;7.7;0;0;1.1;0;0;-3.844;COMX
0;0;0;21.65;0;0.5;0;0;21.65;0;0;0;0;37.56;0;4.63;0;0;0;0;0;6.04;0;0;0;6.34;0;0;1.61;0;0;-7.3;COMX
0;0;0;7.92;0;0.5;0;0;19.86;0;0;0;0;45.74;0;12.64;0;0;0;0;0;0.5;0;0;0;12.64;0;0;0.2;0;0;-7.162;COMX
0;0;0;17.4;0;0;0;0;50.7;0;0;0;0;2.01;0;0.4;0;0;0;0.4;0;25.05;0;0;0;3.12;0;0;0.91;0;0;-6.449;COCO
0;0;0;35.04;0;1.4;0;0;26.93;0;0;0;0;3.6;0;0.5;0;0;0.4;0;0;26.03;0;0.2;0;2.7;0;0;3.2;0;0;-6.237;COMX
0;0;0;36.14;0;2.2;0;0;29.93;0;0;0;0;3.1;0;0.4;0;0;0.4;0;0;25.43;0;0.4;0;1.3;0;0;0.7;0;0;-5.831;COMX
0;0;0;23.02;0;1.21;0;0;22.31;0;0;0;0;6.63;0;1.31;0;0;0;0;0;30.55;0;0.4;0;10.65;0;0;3.92;0;0;-6.441;COMX
0;0;0;20.9;0;0.5;0;0;16.28;0;0;0;0;3.72;0;0.7;0;0;0;0;0;54.17;0;0.5;0;0.9;0;0;2.31;0;0;-6.602;COMX
0;0;0;37.5;0;0.2;0;0;22.18;0;0;0;0;1.71;0;0.2;0;0;0;0;0;33.06;0;0;0;2.72;0;0;2.42;0;0;-6.373;COMX
0;0;0;18.33;0;0.2;0;0;17.82;0;0;0;0;7.55;0;1.91;0;0;0;0;0;47.43;0;0.2;0;4.13;0;0;2.42;0;0;-7.059;COMX
0;0;0;19.96;0;0;0;0;31.25;0;0;0;0;10.99;0;0.2;0;0;0;0;0;34.78;0;0;0;1.11;0;0;1.71;0;0;-6.58;COMX
0;0;0;17.29;0;0.2;0;0;24.52;0;0;0;0;2.14;0;0;0;0;0;0;0;53.71;0;0.71;0;0.71;0;0;0.71;0;0;-6.444;COMX
0;0;0;20.06;0;0;0;0;29.29;0;0;0;0;1;0;0.2;0;0;0;0;0;47.84;0;0.2;0;0.7;0;0;0.7;0;0;-6.421;COMX
0;0;0;18.75;0;0;0;0;36.78;0;0;0;0;5.23;0;0.61;0;0;0;0;0;34.53;0;0.2;0;2.66;0;0;1.23;0;0;-6.124;COMX
0;0;0;23.59;0;0;0;0;43.88;0;0;0;0;2.01;0;0.2;0;0;0;0;0;28.82;0;0;0;1.31;0;0;0.2;0;0;-5.408;COMX
0;0;0;23.72;0;0.2;0;0;36.98;0;0;0;0;2.41;0;0.4;0;0;0;0;0;32.96;0;0;0;2.61;0;0;0.7;0;0;-5.481;COMX
0;0;0;28.34;0;0.2;0;0;26.03;0;0;0;0;1.01;0;1.01;0;0;0;0;0;37.89;0;0;0;4.82;0;0;0.7;0;0;-5.102;COMX
0;0;0;26.07;0;0.83;0;0;36.81;0;0;0;0;5.21;0;5.21;0;0;0;0;0;14.29;0;0;0;10.11;0;0;1.46;0;0;-5.014;COMX
0;0;0;32.93;0;0.6;0;0;30.62;0;0;0;0;7.83;0;1.41;0;0;0;0;0;19.38;0;0;0;5.52;0;0;1.71;0;0;-6.09;COMX
0;0;0;43.54;0;0.4;0;0;29.33;0;0;0;0;4.3;0;0.9;0;0;0;0;0;11.01;0;0;0;7.71;0;0;2.8;0;0;-4.6;COMX
0;0;0;37;0;0.2;0;0;31.1;0;0;0;0;14.1;0;4.1;0;0;0;0;0;4.7;0;0.2;0;7.8;0;0;0.8;0;0;-4.871;COMX
0;0;0;49.39;0;0.51;0;0;23.74;0;0;0;0;5.56;0;2.63;0;0;0;0;0;3.13;0;0;0;14.55;0;0;0.51;0;0;-3.258;COMX
0;0;0;38.98;0;0.8;0;0;31.86;0;0;0;0;4.91;0;5.11;0;0;0;0;0;2.4;0;0;0;14.43;0;0;1.5;0;0;-4.639;COMX
0;0;0;43.74;0;0;0;0;24.72;0;0;0;0;9.51;0;1.8;0;0;0;0;0;3.3;0;0;0;14.51;0;0;2.4;0;0;-4.045;COMX
0;0;0;40.04;0;0.8;0;0;30.73;0;0;0;0;11.31;0;1.7;0;0;0;0;0;1.9;0;0;0;12.01;0;0;1.5;0;0;-3.164;COMX
0;0;0;27.8;0;1.8;0;0;22.8;0;0;0;0;16.9;0;6.6;0;0;0;0;0;0.9;0;0;0;22.5;0;0;0.7;0;0;-3.28;COMX
0;0;0;17.52;0;2;0;0;27.83;0;0;0;0;24.92;0;10.91;0;0;0;0;0;0.2;0;0;0;16.42;0;0;0.2;0;0;-6.102;COMX
0;0;0;30.7;0;0.7;0;0;21.6;0;0;0;0;10.2;0;0.2;0;0;0;0;0;9.7;0;0;0;24.3;0;0;2.6;0;0;-3.339;COMX
0;0;0;43.1;0;1.2;0;0;17.6;0;0;0;0;10.7;0;3.4;0;0;0;0;0;0.5;0;0;0;20.8;0;0;2.7;0;0;-2.16;COMX
0;0;0;10.4;0;1;0;0;29.6;0;0;0;0;17.2;0;9.8;0;0;0;0;0;0.8;0;0;0;29.8;0;0;1.4;0;0;-3.794;COMX
0;0;0;11.01;0;1.1;0;0;25.23;0;0;0;0;22.52;0;6.91;0;0;0;0;0;0.2;0;0;0;31.53;0;0;1.5;0;0;-4.634;COMX
0;0;0;5.89;0;0.9;0;0;17.58;0;0;0;0;22.28;0;8.59;0;0;0;0;0;0.2;0;0;0;43.26;0;0;1.3;0;0;-4.941;COMX
0;0;0;6.41;0;1;0;0;16.62;0;0;0;0;31.33;0;6.11;0;0;0;0;0;0.8;0;0;0;37.14;0;0;0.6;0;0;-5.857;COMX
0;0;0;9.4;0;0;0;0;17;0;0;0;0;23.4;0;7.5;0;0;0;0;0;0.9;0;0;0;41.3;0;0;0.5;0;0;-4.222;COMX
0;0;0;13.4;0;0.2;0;0;20.1;0;0;0;0;17.9;0;5.2;0;0;0;0;0;1.1;0;0.2;0;41.1;0;0;0.8;0;0;-4.26;COMX
0;0;0;11.91;0;0.4;0;0;26.33;0;0;0;0;17.42;0;12.41;0;0;0;0;0;1.1;0;0;0;29.63;0;0;0.8;0;0;-3.302;COMX
0;0;0;5.71;0;0.2;0;0;16.02;0;0;0;0;26.83;0;8.51;0;0;0;0;0;0.8;0;0;0;41.54;0;0;0.4;0;0;-4.291;COMX
0;0;0;7;0;1.3;0;0;12.1;0;0;0;0;32.7;0;7.5;0;0;0;0;0;1.8;0;0;0;36;0;0;1.6;0;0;-6.402;COMX
0;0;0;54.6;0;0.92;0;0;12.99;0;0;0;0;10.63;0;2.35;0;0;0;0;0;1.43;0;0;0;16.36;0;0;0.72;0;0;-3.209;COMX
0;0;0;14.2;0;1.3;0;0;18.5;0;0;0;0;24.3;0;8.1;0;0;0;0;0;1.3;0;0;0;31.3;0;0;1;0;0;-6.533;COMX
0;0;0;76.57;0;0;0;0;11.56;0;0;0;0.32;0.48;0;0;0;0;0;0;0;0.8;0;5.94;0.16;2.57;0;0.16;1.12;0.32;0;1.57;COMX
0;0;0;21.48;0.74;1.11;0;0;30.37;0;0;0.74;0;0;0;0.37;0;0;0;0;0;4.81;0;23.7;0.37;5.19;0;0;0.37;8.89;1.85;1.543;COMX
0;0;0;6.35;0;0;0.4;3.97;43.65;0;0;0;0;0.79;0;3.17;0;0;0;0;0;3.17;0;37.3;0.4;0.4;0;0;0.4;0;0;1.55;COMX
0;0;0;7.78;0;0;0;6.11;23.33;0;0;0.56;0;15;0;3.89;0;0;0;0;0;6.11;0;36.11;0.56;0.56;0;0;0;0;0;1.55;COMX
0;0;0;4.69;0;0.39;0;0;58.59;0;0;0.78;0;7.81;0;0.78;0;0;0;0;0;2.34;0;23.05;0;1.56;0;0;0;0;0;1.55;COMX
0;0;0;3.2;0.18;0.53;0.18;2.31;20.82;0;0;0.18;0;2.67;0;0.18;0;0;0;0;0;7.47;0;60.68;0.18;1.25;0;0;0.18;0;0;2.975;COMX
0;0;0;2.32;0.18;0.18;0.18;0.71;18;0;0;0.36;0;1.07;0;0.36;0;0;0;0;0;5.53;0;68.98;0;1.78;0;0;0.18;0;0.18;2.975;COMX
0;0;0;12.7;0;2.46;0.2;1.23;27.25;0;0;0.82;0;0.61;0;0.2;0;0;0;0;0;0.41;0;50.61;0;3.07;0;0;0.41;0;0;2.975;COMX
0;0;0;5.12;0.16;0.64;0;0.48;10.24;0.32;0;0.8;0;0.16;0;0.32;0;0;0;0;0;1.12;0;78.24;0;2.24;0;0;0;0;0.16;2.975;COMX
0.26;0;0;4.72;0;0.79;0;7.09;41.99;0;0;0.52;0;0.52;0;0;0;0;0;0;0;18.37;0;22.05;0;3.41;0;0;0.26;0;0;1.987;COMX
0;0;0;1.92;0;0.21;0;3.21;14.53;0;0;0.43;0;5.56;0;1.71;0;0;0;0;0;1.71;0;68.38;0;2.14;0;0;0.21;0;0;3.097;COMX
0.5;0;0;0;0;26.37;0;0;15.42;6.47;0;13.93;0;0;17.91;0;0;0;0;0;0;4.98;9.45;0;0;4.98;0;0;0;0;0;-2.128;COMX
0.64;0;0;0;0;15.38;3.85;0;12.18;0.64;0;35.26;0;0;0.64;0;0;0;0;3.21;0;5.13;10.26;0;0;12.82;0;0;0;0;0;-2.098;COCO
0;0;0;0;0;7.19;0.65;0;12.42;5.88;0;31.37;0;3.92;0;0;0;0;0;1.31;0;3.92;3.27;1.96;0;28.1;0;0;0;0;0;-4.565;COCO
0;0;0;0;0;3.16;0.63;0;1.9;1.9;0;79.11;0;1.9;1.58;0;0;0;0;0;0;0.32;0;0.63;0;8.86;0;0;0;0;0;-2.857;HODE
0;0;0;0;0.43;30.11;1.51;0;9.89;0;0;14.19;0;1.51;1.94;0;0;0;0;0;0;3.01;0;30.11;0;7.31;0;0;0;0;0;-2.348;COMX
0;0;0;0;0;25.25;5.9;0;3.28;0;0;10.16;0;4.59;3.61;0;0;0;0;1.15;0;3.77;2.3;6.56;0;33.44;0;0;0;0;0;-2.365;COST
0;0;0;0;0;22.18;3.33;0;0.55;0;0;31.42;0;9.24;0.92;0;0;0;0;0.55;0;1.48;0;22.92;0;7.39;0;0;0;0;0;-2.845;COST
0;0;0;0;2.75;10.31;0.69;0;6.53;0;0;23.37;0;0.34;2.06;0;0;0;0;0.69;0;1.03;0;49.48;0;2.75;0;0;0;0;0;-0.886;COCO
0;0;0;0;0;23.26;22.38;0;1.16;2.62;0;31.98;0;0.87;3.78;0;0;0;0;0.29;0;0.58;0.58;7.27;0;5.23;0;0;0;0;0;0.353;HODE
0;0;0;0;0;14.52;0.66;0;0.66;0;0;75.91;0;0.99;0;0;0;0;0;0;0;0;0;6.6;0;0.66;0;0;0;0;0;-0.171;HODE
0;0;0;0;0;46.3;4.63;0;1.39;0.46;0;14.81;0;0.93;0;0;0;0;0;4.17;0;0;0;1.85;0;25.46;0;0;0;0;0;-0.3;COST
0;0;0;0;0;16.03;0.2;0;1.6;1.2;0;24.05;0;1.4;34.07;0;0;0;0;0;0;0.2;0;20.64;0;0.6;0;0;0;0;0;-0.451;HODE
0;0;0;0;0.51;40.61;1.02;0;0;0;0;20.3;0;10.15;10.15;0;0;0;0;0;0;0;0;2.03;0;15.23;0;0;0;0;0;-1.315;WAST
0;0;0;0;0.43;4.78;0.43;0;3.48;0.87;0;63.91;0;1.74;1.74;0;0;0;0;0;0;1.3;2.61;5.22;0;13.48;0;0;0;0;0;-0.317;HODE
0;0;0;0;0;6.74;1.87;0;4.12;2.25;0;2.62;0;5.24;0.37;0;0;0;0;15.73;0;2.25;31.46;8.24;0;19.1;0;0;0;0;0;-2.405;COCO
0;0;0;0;0;2.21;2.21;0;2.21;2.21;0;4.41;0;2.21;0;0;0;0;0;2.94;0;5.15;36.76;9.56;0;30.15;0;0;0;0;0;-2.402;COCO
0;0;0;0;0;1.26;3.36;0;8.4;2.52;0;3.78;0;11.34;0;0;0;0;0;5.46;0;6.3;20.17;27.73;0;9.66;0;0;0;0;0;-2.43;COCO
0;0;0;0;1.06;7.94;2.12;0;8.47;2.65;0;3.17;0;0;0;1.06;0;0;0;21.16;0;2.12;21.69;15.34;0;13.23;0;0;0;0;0;-2.149;COCO
0;0;0;0;0;16.22;0;0;0;0;0;2.7;0;0;0;0;0;0;0;10.81;0;0;35.14;21.62;0;13.51;0;0;0;0;0;-2.163;COCO
0;0;0;0;0;4.92;3.28;0;16.39;12.3;0;1.64;0;0.82;0;0.82;0;0;0;6.56;0;3.28;20.49;14.75;0;14.75;0;0;0;0;0;-0.738;COCO
0;0;0;0;0;3.29;5.26;0;5.92;4.61;0;3.29;0;5.26;0;0;0;0;0;7.24;0;3.95;15.79;26.32;0;19.08;0;0;0;0;0;-1.333;COCO
0;0;0;0;2.08;18.75;0;0;20.83;0;0;0;0;4.17;0;0;0;0;0;29.17;0;0;0;14.58;0;10.42;0;0;0;0;0;-1.261;COCO
0;0;0;0;0;59.36;2.28;0;1.37;0;0;4.57;0;4.57;1.83;0.91;0;0;0;5.02;0;0.46;5.02;0.91;0;13.7;0;0;0;0;0;-2.253;COST
0;0;0;0;0;5.65;7.26;0;1.21;0;0;11.69;0;3.63;31.85;0;0;0;0;4.84;0;0.4;20.16;12.5;0;0;0;0;0.81;0;0;-2.148;COCO
0;0;0;0;0.17;32.7;19.28;0;0.52;2.24;0;24.1;0;1.2;0.86;0;0;0;0;0.52;0;0;10.15;7.06;0;1.2;0;0;0;0;0;-2.249;COST
0;0;0;0;0.35;32.75;5.92;0;8.36;0;0;4.53;0;1.74;0.7;0;0;0;0;0.7;0;0;17.42;3.83;0;23.69;0;0;0;0;0;-1.101;COST
0;0;0;0;5.13;17.95;2.56;0;2.56;1.28;0;3.85;0;0;0;0;0;0;0;26.92;0;0;16.67;0;0;23.08;0;0;0;0;0;-0.918;COCO
0;0;0;0;0;40;11.71;0;6.34;10.73;0;13.17;0;0.49;0.98;0;0;0;0;0.98;0;0;2.44;10.73;0;2.44;0;0;0;0;0;-0.702;COST
0;0;0;0;1.37;19.18;1.37;0;2.74;18.49;0;4.79;0;0.68;3.42;0;0;0;0;0.68;0;0;35.62;0.68;0;10.96;0;0;0;0;0;-0.903;COCO
0;0;0;0;2.65;12.39;0;0;3.54;0;0;0;0;11.5;2.65;0;0;0;0;0;0;0;21.24;7.96;0;38.05;0;0;0;0;0;-0.949;COMX
0;0;0;0;0;59.57;1.81;0;1.81;0;0;20.4;0;3.61;0;0;0;0;0;0;0;0;1.99;3.61;0;7.22;0;0;0;0;0;-0.159;COST
0;0;0;0;2.48;32.43;0.99;0;2.48;1.98;0;10.4;0;4.95;0.25;0;0;0;0;0;0;0;1.73;1.49;0;40.84;0;0;0;0;0;-0.124;WAST
0;0;0;0;0;46.77;0;0;12.9;0;0;19.35;0;0;0;0;0;0;0;0;0;0;0;4.84;0;16.13;0;0;0;0;0;-0.298;COST
0;0;0;0;0;36.96;2.72;0;3.11;19.46;0;2.72;0;10.89;0;0;0;0;0;0;0;0;9.34;0;0;14.79;0;0;0;0;0;-0.255;WAST
0;0;0;0;0;51.69;0.56;0;0.56;14.04;0;16.29;0;0;0.56;0;0;0;0;2.25;0;0.56;6.18;3.37;0;3.93;0;0;0;0;0;1.036;COST
0;0;0;0;0;24.22;3.13;0;14.06;9.38;0;28.13;0;1.56;2.34;0;0;0;0;0;0;0;4.69;1.56;0;10.94;0;0;0;0;0;0.89;HODE
0;0;0;0;0;16.36;0.37;0;4.09;1.12;0;68.03;0;0.74;1.49;0;0;0;0;0;0;0;3.35;0;0;4.46;0;0;0;0;0;0.544;HODE
0;0;0;0;0.36;33.21;12.64;0;3.25;11.19;0;6.86;0;0.36;1.08;0;0;0;0;0;0;0;22.38;7.94;0;0.72;0;0;0;0;0;-0.689;COST
0;0;0;0;0;31.79;0;0;6.62;0;0;43.05;0;1.99;0.66;0;0;0;0;0;0;0;13.25;1.32;0;1.32;0;0;0;0;0;-0.647;HODE
0;0;0;0.61;0.3;34.15;3.66;0;32.93;0;0;7.32;0;1.22;0.61;0.3;0;0;0;0;0;3.05;0;7.32;0;7.32;0;0;0.61;0;0.61;-2.448;COMX
0.45;0;0;2.69;0;2.69;1.79;0;5.83;0;0;1.35;0.45;1.35;0;3.14;0;0;0;0.9;0;30.04;0;47.98;0;0.9;0;0;0.45;0;0;-2.19;COCO
